,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,2-methyl-1-butanol,,,a,,,,b,,,,,,,,:,0.00,C,0.00,,0.95c,0.95c,0.00,C,0.00,,,0.00c,0.00c
1,Hexanol,Al2,312.77,,76.22c,76.22c,42.61,def,7.43,g,160.71,b,43.97,cdef,27.22,efg,54.92,cde,42.57,def,15.31,fg,73.15,cd,70.41,cd,,24.77,efg
2,2-Hexen-1-ol,Al3,24.65,a,0.00,b,0.00,,0.00,b,0.00,b,0.00,,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,,0.00 b,0.00 b
3,1-Octen-3-ol,Al4,0.00,e,11.62,d,10.66,d,6.80,de,42.65,,19.30,be,37.26,a,12.93,cd,8.19,d,6.90,de,26.32,b,21.71,b,,22.86,b
4,1-Heptanol,Al5,37.52,a,0.00,b,0.00,b,0.00,b,0.00,,0.00,b,0.00,b.,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,,0.00,b
5,6-Methyl-5-hepten-2-ol,Al6,14.90,a,0.00,.,0.00,b,0.00,b,0.00,,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,,0.00,b
6,2-Ethtyl-1-hexanol,Al7,0.00,d,9.88,d,0.00,d,0.00,d,0.00,d,0.00,d,16.68,a,0.00,d,0.00,d,2.89,c,0.00,d,0.00,d,,7.88 b,7.88 b
7,1-Octanol,Al8,44.33,a,9.88,cd,7.53,cde,5.64,cde,11.38,c,6.22,cde,6.74,cde,3.54,e,3.47,e,4.48,de,20.18,b,8.35,cde,,5.58,cde
8,2-Furanmethanol,A19,0.00,d,7.59,C,0.00,,2.08,cd,3.24,cd,0.00,,6.32,cd,21.19,b,0.00,,0.00,d,118.40,a,0.00,,,0.00,
9,Benzyl alcohol,Al10,0.00,,2.72,b,0.00,c,0.00,c,5.37,a,0.91,c,0.00,C,1.23,bc,0.00,c,0.00,C,0.00,C,0.00,c,,0.00,c
10,Phenyl propanol,Al11,0.00 b,0.00 b,4.00 b,4.00 b,1.58,b,0.00,b,13.14 a,13.14 a,2.13,b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,2.79,b,1.41,b,,0.00 b,0.00 b
11,KETONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1-Penten-3-one,K1,0.00,e,5.76 b,5.76 b,1.86,d,0.00,e,9.78 a,9.78 a,0.00,e,0.00 e,0.00 e,3.29,C,0.00,e,0.00e,0.00e,4.92,b,0.00,e,,0.00,e
13,"2,6-Dimethyl-4-heptanone",K2,0.00 b,0.00 b,0.00b,0.00b,0.00,b,0.00,b,0.00b,0.00b,0.00,b,0.00 b,0.00 b,0.00,b,0.00b,0.00b,4.06,a,0.00,b,0.00b,0.00b,,3.80,a
14,1-Octen-3-one,K3,0.00f,0.00f,28.68,cd,27.97,cd,14.23,e,70.15,ab,29.56,cd,75.94,a,37.12,c,15.16,e,19.99,de,68.87,ab,36.03,C,,63.92 b,63.92 b
15,6-Methyl-5-hepten-2-one,K4,0.00f,0.00f,74.10,cd,56.81,de,26.69,ef,138.87,ab,76.83,cd,163.36,a,45.26,de,58.30,de,59.49 de,59.49 de,87.53,cd,133.32,ab,,106.48 bc,106.48 bc
16,2-Undecanone,K5,0.00,0.00,1.44 cd,1.44 cd,2.25,bcd,1.19 de,1.19 de,3.85a,3.85a,2.53,bc,0.00,e,1.81,cd,2.06,cd,0.00e,0.00e,3.37,ab,1.70 cd,1.70 cd,,0.00e,0.00e
17,HYDROCARBURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Decane,H1,0.00 h,0.00 h,46.06 b,46.06 b,31.73,cdef,9.66,gh,60.08,a,38.52,bede,41.66,bc,40.53,bed,28.13,def,19.93 fg,19.93 fg,48.75,ab,37.33 bcde,37.33 bcde,,26.79,ef
19,Undecane,H2,0.00,g,143.34,bcde,133.58,cde,36.55,fg,284.34,a,117.93,de,153.32,bed,136.32,bede,103.29,e,55.30,f,177.78,b,168.80 bc,168.80 bc,,52.71,
20,Dodecane,H3,0.00,h,191.04,a,139.87,bc,17.58,gh,95.12,def,137.22,bed,73.32,ef,86.91,ef,166.01,ab,98.40 cdef,98.40 cdef,108.95,cde,208.14,a,,59.04 fg,59.04 fg
