,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,Pearson correlation,Pearson correlation,,
1,,Mean,SD,Minimum,Q25,Median,Q75,Maximum,Total diet,Breakfast,Lunch,Dinner,Snacks
2,HEI-2015*,,,,,,,,,,,,
3,Total diet,52.1,7.4,22.1,47.1,51.3,56.9,77.2,1.00,,,,
4,Breakfast,45.0,12.5,0,37.9,45.2,53.2,93.4,0.60,1.00,,,
5,Lunch,48.9,9.0,0,44.4,49.7,54.4,73.0,0.56,0.31,1.00,,
6,Dinner,53.0,8.0,18.8,47.7,53.0,58.3,76.6,0.65,0.33,0.17,1.00,1.00
7,Snacks,34.2,15.2,0,26.4,35.3,43.3,78.1,0.29,0.16,0.09,0.14,1.00
8,NRF9.3,,,,,,,,,,,,
9,Total diet,667,106,1264,611,679,743,884,1.00,1.00,,,
10,Breakfast,598,149,1264,509,619,700,890,0.51,1.00,,,
11,Lunch,665,149,45,509,683,704,890,0.58,0.18,1.00,1.00,
12,Dinner,665,110,51,604,683,742,882,0.70,0.24,0.25,0.17,1.00
13,Snacks,98,383,1948,28,123,351,799,0.34,0.16,0.15,0.17,1.00
