,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,Aerrrre,100,,,,150,,200,,15,,13,,200,,,,,100,,,,160,,,,440
1,,,,,160,250,,,,2,,30,,,,120,,270,,,120,2,200,,250,300,,
2,8n,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,gn,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cn,tpqp,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tn,prtae,,,,,,,,,,,,,,,,,,,,,,,,,,
7,u2,aup,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
9,u2,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
11,Siie,,H,S,,,,,,,,pid,A,pid,,S,,,,,S,,,,S,,,I
12,Naae,,,,,,,,,,,time,,,,,,,,,,,,,Medmed,,,
13,Naae,,,,,,,,,,,,,,,eqee,eqee,ebee,eqbe,,,,,,,,,
14,pddd,eooe,106,707,,107,,108,108,,106,110,170,111,,112,2,172,,173,114,,114,174,175,115,175,
