,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Variable,,1,Weight,Weight,,P,Height,Height,,,Z Score W/A,,Z Score W/A,p,Hemoglobin,Hemoglobin,Hemoglobin,,Albumin,Albumin,Albumin,p-value
1,,,,difference (kg),,difference (kg),,difference(cm),,difference(cm),,difference,,difference,,difference(g/,,difference(g/,,difference(g/,,difference(g/,
2,,,,,,,,,,,,,,,,,dL),,,dL),dL),,
3,,,,Mean,+,SD,,Mean,+,SD,,Mean,,SD,,Mean,Mean,SD,,Mean,Mean,SD,
4,Feeding practice of children under-,,,,,,,,,,,,,,,,,,,,,,
5,five at pre-study,five at pre-study,,,,,,,,,,,,,,,,,,,,,
6,Not good(<=mean,,19,0.45,+,0.55,0.564,1.97,+,0.67,0.630,0.30,,0.43,0.353,-0.04,,0.87,0.640,-0.04,+,0.33,0.822
7,Good>mean,,11,0.35,+,0.34,,1.81,+,0.99,,0.50,,0.61,,-0.18,,0.73,,-0.06,,0.30,
8,Feeding practice of children under-,,,,,,,,,,,,,,,,,,,,+,,
9,five at post-study,five at post-study,,,,,,,,,,,,,,,,,,,,,
10,Not good<=mean,,13,0.18,,0.45,**0.01,1.97,+,0.82,0.740,0.06,,0.34,**0.01,-0.08,,0.87,0.771,-0.05,+,0.31,0.892
11,Good(>mean,,17,0.59,+,0.44,,1.87,+,0.78,,0.60,,0.49,,-0.17,,0.63,,-0.06,+,0.33,
12,Level of cookie consumption during,,,,,,,,,,,,,,,,,,,,,,
13,study (g),study (g),,,,,,,,,,,,,,,,,,,,,
14,"Poor<=2,550",,15,0.21,+,0.43,**0.01,2.06,+,0.89,0.315,0.15,+,0.42,**0.01,-0.12,+,0.81,"0,982",-0.12,+,0.30,0.243
15,"Good>2,500",,15,0.61,+,0.45,,1.77,+,0.67,,0.59,,0.49,,-0.11,+,0.78,,0.01,+,0.31,
16,Adequacy level of macronutrient RDA,,,Adequacy level of macronutrient RDA,,,,,,,,,,,,,,,,,,,
17,,%,,,,,,,,,,,,,,,,,,,,,
18,Energy,,,,,,,,,,,,,,,,,,,,+,,
19,Poor(<70%),,6,0.50,+,0.40,0.629,1.37,+,0.39,0.055,0.47,,0.24,0.609,0.38,+,0.65,0.080,0.15,+,0.16,0.070
20,Good>=70%,,24,0.39,+,0.50,,2.05,+,0.80,,0.35,+,0.55,,-0.24,+,0.77,,-0.10,,0.32,
21,Carbohydrate,,,,,,,,,,,,,,,,,,,,+,,
22,Poor(<70%),,19,0.43,+,0.54,0.789,1.87,+,0.72,0.723,0.32,+,0.47,0.528,0.21,+,0.60,0.090,0.08,?,0.14,0.256
23,Good>=70%,,11,0.38,+,0.37,,1.98,,0.93,,0.45,,0.58,,-0.67,,0.77,,-0.28,+,0.39,
24,Protein,,,,,,,,,,,,,,,,,,,,,,
25,30,,30,,,,,,-,,,,-,,,,,,,,-,,
26,Fat,,,,,,,,,,,,,,,,,,,,,,
27,Poor<70%,,3,0.50,,0.61,0.747,1.50,,0.50,0.346,0.37,+,0.25,1.000,0.47,+,0.99,0.178,0.07,?,0.15,0.487
28,Good>=70%,,27,0.40,,0.48,,1.96,+,0.80,,0.37,,0.53,,-0.18,+,0.75,,-0.07,+,0.32,
29,Adequacy level of micronutrient RDA,,,Adequacy level of micronutrient RDA,,,,,,,,,,,,,,,,,,,
30,,%,,,,,,,,,,,,,,,,,,,,,
31,Vitamin C,,,,,,,,,,,,,,,,,,,,,,
32,Poor<70%),,22,0.35,,0.45,0.203,1.91,+,0.77,0.962,0.31,+,0.53,0.274,-0.11,,0.78,0.973,"-0,04",,0.30,0.721
33,Good>=70%,,8,0.60,+,0.55,,1.93,+,0.89,,0.54,,0.42,,-0.13,,0.85,,"-0,09",,0.35,
34,Vitamin E,,,,,,,,,,,,,,,,,,,,,,
35,Poor<70%),,14,0.30,,0.49,"0,232",2.00,+,0.82,0.581,0.28,,0.56,0.394,-0.14,,0.76,0.903,"-0,03",,0.32,0.688
36,,,,,,,,,,,,,,,,,,,,,,,
37,Good>=70%,,16,0.51,+,0.47,,1.84,?,0.78,,0.45,,0.46,,-0.10,,0.83,,-0.08,,0.31,
38,Iron/Fe(g),,,,,,,,,,,,,,,,,,,,,,
39,Poor(<70%),,12,0.30,+,0.49,0.298,"2,21",+,0.75,0.094,0.19,,0.46,0.114,-0.19,,0.88,0.676,-0.11,,0.36,0.434
40,Good>=70%,,18,0.49,,0.47,,"1,72",+,"0,77",,0.49,,0.51,,-0.07,,0.73,,-0.02,,0.27,
41,Level of improving balance nutrition knowledge,,,Level of improving balance nutrition knowledge,,,,,,,,,,,,,,,,,,,
42,Poor,,13,0.38,,0.49,0.723,1.84,+,0.80,0.656,0.42,+,0.58,0.675,-0.04,..,0.91,,-0.03,+,0.34,
43,Good,,17,0.44,,0.49,,1.97,+,0.79,,0.34,,0.45,,-0.18,+,0.69,0.640,-0.07,+,0.29,0.732
44,Level of improving COVID-19,,Level of improving COVID-19,,,,,,,,,,,,,,,,,,,,
45,knowledge,knowledge,,,,,,,,,,,,,,,,,,,,,
46,Poor,,12,0.43,+,0.59,0.856,1.79,?,0.88,0.498,0.49,+,0.56,0.283,-0.15,+,0.83,,-0.03,?,0.31,0.777
47,Good,,18,0.40,,0.40,,1.99,+,0.73,,0.29,+,0.46,,"-0,.9",+,0.78,"0,857",-0.07,+,0.32,
